sha,ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
Q31,01R,2013,03,139532.0,8137.0,217554.99000000005,26.73651099913974
Q31,01T,2013,03,126822.0,7054.0,187081.19999999995,26.521292883470366
Q31,01V,2013,03,101234.0,5915.0,137666.69999999995,23.27416737109044
Q31,01W,2013,03,237826.0,12937.0,327221.82000000007,25.293485352090908
Q31,01X,2013,03,155786.0,10213.0,230423.0100000001,22.561736022716154
Q31,01Y,2013,03,187054.0,11485.0,320619.44999999995,27.91636482368306
Q31,02A,2013,03,181553.0,10048.0,257164.43000000008,25.593593750000007
Q31,02D,2013,03,79614.0,4671.0,123805.09,26.505050310426032
Q31,02E,2013,03,153629.0,9234.0,205890.85999999996,22.29703920294563
Q31,02F,2013,03,206635.0,11097.0,243210.37000000002,21.916767594845457
Q31,02G,2013,03,90171.0,5223.0,119188.30999999997,22.819894696534554
Q31,02H,2013,03,257240.0,16023.0,358574.39,22.378729950695874
Q31,02M,2013,03,126659.0,7684.0,175043.35000000003,22.78023815720979
Q32,02N,2013,03,124811.0,7088.0,178493.19999999998,25.182449209932276
Q32,02P,2013,03,178639.0,11357.0,321002.40000000014,28.264717795192404
Q33,02Q,2013,03,90256.0,5504.0,147123.31,26.73025254360465
Q32,02R,2013,03,251063.0,16471.0,381011.41,23.13225730071034
Q32,02T,2013,03,166522.0,9125.0,216473.62,23.723136438356164
Q32,02V,2013,03,161520.0,8139.0,204941.86999999997,25.180227300651183
Q32,02W,2013,03,71481.0,6542.0,164585.14000000004,25.158229899113426
Q32,02X,2013,03,247262.0,16386.0,427114.80000000005,26.065836689857196
Q32,02Y,2013,03,247261.0,14872.0,362634.86000000004,24.383731845078003
Q32,03A,2013,03,185941.0,9791.0,226345.56999999998,23.11771729139005
Q32,03C,2013,03,291181.0,12123.0,324691.54000000004,26.78310154252248
Q32,03D,2013,03,115576.0,5882.0,166479.98999999996,28.303296497789862
Q32,03E,2013,03,130748.0,5802.0,154915.19999999998,26.700310237849013
Q32,03F,2013,03,226105.0,12574.0,308530.27,24.537161603308416
Q32,03G,2013,03,198646.0,11317.0,300200.17999999993,26.526480516037815
Q32,03H,2013,03,131600.0,8080.0,217373.35999999996,26.90264356435643
Q32,03J,2013,03,141150.0,8899.0,208986.19999999998,23.484234183616135
Q32,03K,2013,03,133511.0,8430.0,241302.66999999995,28.62427876631079
Q32,03L,2013,03,200329.0,11951.0,325085.2200000001,27.201507823613095
Q32,03M,2013,03,97630.0,5068.0,141020.13999999998,27.8255998421468
Q32,03N,2013,03,448552.0,25323.0,573882.8999999999,22.662516289539152
Q32,03Q,2013,03,277850.0,13002.0,328108.04,25.23519766189817
Q32,03R,2013,03,283387.0,16918.0,427472.0899999999,25.267294597470144
Q33,03T,2013,03,199805.0,14784.0,395892.3299999999,26.778431412337657
Q33,03V,2013,03,39766.0,2106.0,68757.41000000002,32.648342830009504
Q33,03W,2013,03,254405.0,13555.0,383708.69000000006,28.307538915529328
Q33,03X,2013,03,79014.0,4601.0,85403.95999999998,18.56204303412301
Q33,03Y,2013,03,83276.0,5924.0,123383.63999999998,20.827758271438213
Q33,04C,2013,03,283277.0,19916.0,526617.78,26.441945169712795
Q33,04D,2013,03,176674.0,9985.0,253565.88,25.394680020030044
Q33,04E,2013,03,147551.0,8714.0,225232.40999999997,25.847189579986225
Q38,04F,2013,03,201834.0,9533.0,291646.88,30.5933997692227
Q33,04G,2013,03,492344.0,26742.0,665681.0099999994,24.89271595243435
Q33,04H,2013,03,103252.0,5563.0,153124.05000000002,27.525444903828873
Q33,04J,2013,03,229141.0,13693.0,289406.74,21.135378660629517
Q33,04K,2013,03,270997.0,13297.0,284285.31,21.379657817552832
Q33,04L,2013,03,115117.0,6674.0,145077.09000000003,21.737652082709022
Q33,04M,2013,03,76516.0,4178.0,93986.34,22.49553374820488
Q33,04N,2013,03,98578.0,4373.0,99373.41999999998,22.724312828721697
Q33,04Q,2013,03,104115.0,5897.0,164237.2,27.850975072070547
Q33,04R,2013,03,413961.0,25607.0,506288.75,19.771498027883002
Q33,04V,2013,03,292840.0,16174.0,424233.02999999974,26.22932051440582
Q34,04X,2013,03,182869.0,12522.0,320912.05999999994,25.62785976681041
Q34,04Y,2013,03,102246.0,6120.0,184199.04999999996,30.0978839869281
Q34,05A,2013,03,360435.0,19712.0,549315.7100000002,27.8670713271104
Q34,05C,2013,03,250159.0,14779.0,389175.16000000003,26.332983287096557
Q34,05D,2013,03,106340.0,6137.0,171903.52,28.01100211829884
Q34,05F,2013,03,149031.0,8594.0,203643.66,23.696027461019316
Q34,05G,2013,03,162423.0,10565.0,235189.45,22.261187884524375
Q34,05H,2013,03,147421.0,8935.0,268594.36999999994,30.06092557358701
Q34,05J,2013,03,135026.0,6962.0,216755.71999999997,31.13411663315139
Q34,05L,2013,03,398593.0,29965.0,805434.8499999999,26.879187385282826
Q34,05N,2013,03,243102.0,13064.0,345809.10000000003,26.470384262094306
Q34,05P,2013,03,186319.0,10750.0,270020.04999999993,25.118144186046504
Q34,05Q,2013,03,168479.0,9473.0,253770.91000000003,26.788864140187904
Q34,05R,2013,03,221203.0,10292.0,270428.19000000006,26.27557228915663
Q34,05T,2013,03,234038.0,13611.0,325675.38999999996,23.927366835647636
